id,title,region,era,theme,discord_post,action_prompt,source_key,tags
1,Free African Society mutual-aid model — Why it mattered,"Philadelphia, USA",1787,mutual aid institution,"🖤 Black Economics Fact #1: **Free African Society mutual-aid model**
Free African Society mutual-aid model shows that Black economics has often begun with mutual aid institution: free Black Philadelphians pooled dues for sickness, burial support, moral discipline, and institution-building. The lesson is simple: When a community starts with a care fund, it builds trust before it builds businesses.

💡 Try it today: When a community starts with a care fund, it builds trust before it builds businesses.","When a community starts with a care fund, it builds trust before it builds businesses.",S01,"mutual,black-economics,cooperative-economics"
2,Free African Society mutual-aid model — How it worked,"Philadelphia, USA",1787,mutual aid institution,"🖤 Black Economics Fact #2: **Free African Society mutual-aid model**
The engine behind Free African Society mutual-aid model was mutual aid institution. People did not wait for perfect access; they organized free Black Philadelphians pooled dues for sickness, burial support, moral discipline, and institution-building. Today’s version could start as a transparent Discord pledge, dues circle, or buyer club.

💡 Try it today: When a community starts with a care fund, it builds trust before it builds businesses.","When a community starts with a care fund, it builds trust before it builds businesses.",S01,"mutual,black-economics,cooperative-economics"
3,Free African Society mutual-aid model — What to copy,"Philadelphia, USA",1787,mutual aid institution,"🖤 Black Economics Fact #3: **Free African Society mutual-aid model**
Copy the principle behind Free African Society mutual-aid model: use mutual aid institution to convert scattered effort into collective power. When a community starts with a care fund, it builds trust before it builds businesses.

💡 Try it today: When a community starts with a care fund, it builds trust before it builds businesses.","When a community starts with a care fund, it builds trust before it builds businesses.",S01,"mutual,black-economics,cooperative-economics"
4,Free African Society mutual-aid model — Discord challenge,"Philadelphia, USA",1787,mutual aid institution,"🖤 Black Economics Fact #4: **Free African Society mutual-aid model**
Challenge your server to recreate the smallest version of Free African Society mutual-aid model. Start with one rule, one treasurer, one public ledger, and one shared goal tied to mutual aid institution.

💡 Try it today: When a community starts with a care fund, it builds trust before it builds businesses.","When a community starts with a care fund, it builds trust before it builds businesses.",S01,"mutual,black-economics,cooperative-economics"
5,Free African Society mutual-aid model — Power move,"Philadelphia, USA",1787,mutual aid institution,"🖤 Black Economics Fact #5: **Free African Society mutual-aid model**
Free African Society mutual-aid model proves that economics is not only money; it is coordination. By using mutual aid institution, communities turned trust into infrastructure. When a community starts with a care fund, it builds trust before it builds businesses.

💡 Try it today: When a community starts with a care fund, it builds trust before it builds businesses.","When a community starts with a care fund, it builds trust before it builds businesses.",S01,"mutual,black-economics,cooperative-economics"
6,African Methodist Episcopal institution-building — Why it mattered,United States,1790s–1800s,church-based enterprise,"🖤 Black Economics Fact #6: **African Methodist Episcopal institution-building**
African Methodist Episcopal institution-building shows that Black economics has often begun with church-based enterprise: Black churches became financial anchors that collected dues, bought property, funded schools, and protected members. The lesson is simple: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.

💡 Try it today: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.","A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.",S01,"church-based,black-economics,cooperative-economics"
7,African Methodist Episcopal institution-building — How it worked,United States,1790s–1800s,church-based enterprise,"🖤 Black Economics Fact #7: **African Methodist Episcopal institution-building**
The engine behind African Methodist Episcopal institution-building was church-based enterprise. People did not wait for perfect access; they organized Black churches became financial anchors that collected dues, bought property, funded schools, and protected members. Today’s version could start as a transparent Discord pledge, dues circle, or buyer club.

💡 Try it today: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.","A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.",S01,"church-based,black-economics,cooperative-economics"
8,African Methodist Episcopal institution-building — What to copy,United States,1790s–1800s,church-based enterprise,"🖤 Black Economics Fact #8: **African Methodist Episcopal institution-building**
Copy the principle behind African Methodist Episcopal institution-building: use church-based enterprise to convert scattered effort into collective power. A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.

💡 Try it today: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.","A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.",S01,"church-based,black-economics,cooperative-economics"
9,African Methodist Episcopal institution-building — Discord challenge,United States,1790s–1800s,church-based enterprise,"🖤 Black Economics Fact #9: **African Methodist Episcopal institution-building**
Challenge your server to recreate the smallest version of African Methodist Episcopal institution-building. Start with one rule, one treasurer, one public ledger, and one shared goal tied to church-based enterprise.

💡 Try it today: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.","A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.",S01,"church-based,black-economics,cooperative-economics"
10,African Methodist Episcopal institution-building — Power move,United States,1790s–1800s,church-based enterprise,"🖤 Black Economics Fact #10: **African Methodist Episcopal institution-building**
African Methodist Episcopal institution-building proves that economics is not only money; it is coordination. By using church-based enterprise, communities turned trust into infrastructure. A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.

💡 Try it today: A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.","A church, mosque, lodge, or Discord can become an economic anchor when contributions are transparent.",S01,"church-based,black-economics,cooperative-economics"
